VODAFONE,Arouca,Rua Segunda de ZePaulo,1,
VODAFONE,Vila Real,Avenida Terceira de Maio,0,
VODAFONE,Porto,Avenida dos Aliados,1,
VODAFONE,Gaia,Rua Do Meio,1,
VODAFONE,Geres,Avenida das folhas,1,
VODAFONE,Arouca,Rua 1234,1,
VODAFONE,Braga,Rua dos Eucaliptos,1,
VODAFONE,Arouca,Rua do Vinho,1,
VODAFONE,Vila Real,Avenida Segunda de Maio,0,
VODAFONE,Porto,Avenida das Roseiras,1,
VODAFONE,Gaia,Rua Do Milho,1,
VODAFONE,Geres,Rua das macas,1,
VODAFONE,Arouca,Avenida 1234,1,Operadora_1,
VODAFONE,Braga,Rua da Meiameia,1,
VODAFONE,Arouca,Rua das Rancas,1,
